taxID	FSLB_count	GP143_count	GP157_count	GPR1_count	Galpha_count	Gbeta_count	Ggamma_count	Mth_count	Nematode_count	Olfactory_count	RBP1_count	STE2_count	STE3_count	TBP_count	Vomeronasal1_count	Vomeronasal2_count	cAMP_count	classA_count	classB1_count	classB2_count	classC_count	classF_count	classT_count
183478	1	0	0	2	4	1	1	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0
1835702	1	0	0	1	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
1836956	1	0	0	6	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
184061	1	0	0	1	6	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
1843537	0	1	0	0	8	2	2	21	0	0	8	0	0	4	0	0	0	133	7	14	14	5	0
1849047	1	0	0	6	3	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
184978	2	0	0	3	4	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
1851006	1	0	0	2	5	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
1854472	1	0	0	2	3	1	1	0	0	0	3	1	1	2	0	0	4	0	0	0	0	0	0
185453	0	1	1	0	16	5	12	0	0	1093	3	0	0	3	6	0	0	280	15	32	22	11	14
1858805	0	0	0	0	5	1	1	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0
1868482	0	1	0	0	17	5	18	0	0	520	3	0	0	3	7	1	0	266	15	33	22	12	19
186990	0	1	1	0	17	5	14	0	0	376	3	0	0	3	1	1	0	284	16	33	23	10	20
187106	0	1	1	0	13	4	10	0	0	74	2	0	0	3	0	0	0	248	15	18	18	9	1
187451	0	1	1	0	12	4	8	0	0	34	1	0	0	3	0	0	0	236	17	15	14	10	6
1882269	1	0	0	0	3	1	1	0	0	0	4	0	1	1	0	0	3	0	0	0	0	0	0
1882483	0	0	0	1	3	1	1	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0
1883078	0	0	0	0	12	1	2	0	0	0	3	0	5	1	0	0	0	0	0	0	0	0	0
